,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
Volume,-0.5169305995429558,0.5722837680356574,-0.3521021127383795,0.19407743878135192,-0.2997127371025043,0.056720399703726755,-0.013683667744202991,-0.057659478460535,0.17980930581834814,-0.2722364964535084,-0.13948197212815505,-0.0471947433811414,0.04693118873956319,0.05277855779666342,0.18957600320573578,0.029181426445552532,-0.026845859024292075,0.024140354648404045,0.006400215199144872,0.008378695686227972,0.012063952998812102
Cinema,0.46996983974178685,0.37631074625295396,0.6141919999824748,-0.29030584669327303,-0.13192430022697216,0.056742488769520504,-0.12539713114408294,-0.284153551826247,0.17798475089450055,0.04471754836756994,0.04037660983351028,0.06949969639046515,0.11144757398102909,-0.10872475497192374,0.02001394016742713,0.03862485024048668,0.10886975005543736,0.059242507739352405,-0.04085424593008466,0.001330944899851421,0.0014791251501097258
PIB,0.9634222778286299,-0.10841636020292657,-0.005642198713915727,0.18776886165476864,-0.052748532994513785,-0.0023770801335403833,-0.04681329142871136,-0.07223073152818126,0.07667778351377595,0.03731175754361715,0.11872906081295241,0.014309969984337324,-0.01970704141565347,0.01594920861985537,0.02434761180610639,0.031019594980228615,-0.013409078471210147,0.018700455682702562,0.07160570717576795,0.0911577854818617,-0.03507762517055789
Cerc,0.784658436599376,-0.42914239422046796,0.057488932279173996,-0.10251898091166153,0.03831014257289963,-0.08198548936095892,0.1636234949700092,-0.17666937115585124,0.048617074164064564,0.12988894481416643,-0.2193753039300692,-0.06535601756724754,-0.048402606791828486,0.2230130671945702,0.06575676510863776,0.09565454050310195,0.07085300490179533,0.024873467867186746,0.02867971340374175,-0.02958849871937705,-0.00539894429537629
ProdVeg,-0.6860237073345355,0.2986403869701525,0.2094974117623669,0.274259224652694,-0.016004786084819974,-0.3496749676136891,0.07971000329314216,-0.19215738756279857,0.1786706439007403,0.27388712385093816,0.03707096664393322,-0.2251238434243162,0.08389767998114292,-0.004802790719256762,-0.004696482337172622,-0.07799304876064381,-0.08198828853469699,-0.0060663648462258605,0.0213862672698174,-0.013332362180373264,-0.010404048655649187
ProdAn,-0.6766314607417016,0.0650198661680167,-0.1494219748532433,0.39685442220976996,-0.21644272195230277,0.07778154104012527,0.2963225271089695,-0.3145075370431484,-0.11013882001579176,0.04950699735892719,0.28356712637952136,0.1195072405002467,-0.16132841963870465,0.027431148134966082,-0.0006684314816472079,0.07261011502800162,0.007088313981772518,0.03155821688020631,-0.014326073387572974,-0.0171946763141958,0.00445624829175237
Telefonie,0.8430292055790201,0.37794384220661514,-0.13764423716511295,-0.02694409137033643,0.16402113704962526,-0.22456234365513503,0.027607751970914005,0.020362285856299865,-0.11417619376666484,-0.14198811811557605,0.03581449787801702,-0.021673371422648108,0.017567056006898337,-0.09033457043989565,-0.08406826896599605,0.041717819350865666,-0.019128036877906443,0.09807275153652655,0.09375946373188554,-0.03741612037962952,0.016418471171853546
Internet,0.4723681845125754,0.5693615792650893,-0.2633957903319234,0.3431095981631585,0.011191828432828885,-0.3380316018110084,-0.1951964646863071,0.18174664845423455,-0.22602666716350306,0.11975250723758155,0.06564617025303414,0.03461246036024512,0.0981060096397908,0.05574077941371464,0.03986682500694645,0.07489549568991298,0.09838129342978306,-0.05038880476829009,-0.028290544140049525,-0.007802135003718405,-0.022681487987905986
Cazare,0.4001176788064995,0.44396430833591494,0.5297806123697337,0.025745266513205023,-0.32425536114717574,0.40329882738109757,-0.23964357247392098,0.13520999848899265,-0.05033780721354791,0.06963754533440103,0.007524345600943628,-0.00682082110426269,-0.05960481636633338,0.10036984950406193,-0.0474268310578642,0.07761138440484372,-0.09859761309467337,-0.039474645280697676,0.033109022898320475,-0.024344814845098452,-0.00211816862855282
ExecB,0.8662622878080268,-0.18343787472874395,0.01414574912873664,0.2616094571505828,-0.00011569462838014036,-0.16892706613034328,-0.03609146065401674,0.03958947663938081,0.16842196465213857,-0.08858612963781479,0.0473472456220073,0.19248767865579716,0.11936348226680987,0.15673323175984735,-0.06016778028974602,-0.05588504893716449,-0.10695902738819427,0.06063516769403384,-0.06187591028358469,-0.01330338840616262,-0.009954884368150839
